Shipping Cost,(פריטים מרובים),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Merchant,Shipping Service, Total Shipping Revenue , Total Shipping Cost , Total Returns Cost ,Profitability Before Returns,Profitability After Returns,,,,,,,,,,,,,,,
Merchant A,,,,,,,,,,"Number of anomalies (#N/A) in column L - ""Shipping Cost"":",,8,,0.025%,Note 1: 8 anomalies (#N/A) in “Shipping Cost” (≈0.025%) were removed from calculations as they are negligible and caused errors.,,,,,,
,Carrier A," $16,030.6 "," $8,382.9 ", $174.1 ,91.2%,87.3%,,,,,,,,,,,,,,,
,Carrier B," $4,401.7 "," $3,318.1 ", $54.5 ,32.7%,30.5%,,,,,,,,,,,,,,,
,Carrier F," $7,519.7 "," $7,084.6 ", $107.0 ,6.1%,4.6%,,,,,,,,,,,,,,,
Merchant A – Total,," 27,952.0 "," 18,785.6 ", 335.6 ,48.8%,46.2%,,,,Overall Profitability (Before Returns):,,18.15%,,"Note 2: Overall profitability was calculated separately, because the Pivot Table shows a simple average of percentages. This average does not represent real business performance, while the separate calculation reflects the true overall profitability across all orders.",,,,,,,
Merchant B,,,,,,,,,,,,,,,,,,,,,
,Carrier B," $15,450.5 "," $14,745.0 ", $28.7 ,4.8%,4.6%,,,,,,,,,,,,,,,
,Carrier C," $10,888.8 "," $8,750.6 ", $-   ,24.4%,24.4%,,,,,,,,,,,,,,,
,Carrier D," $12,535.8 "," $11,046.0 ", $-   ,13.5%,13.5%,,,,Overall Profitability (After Returns):,,3.05%,,,,,,,,,
,Carrier E, $736.4 , $649.6 , $-   ,13.4%,13.4%,,,,,,,,,,,,,,,
,Carrier F," $20,021.9 "," $17,825.7 ", $-   ,12.3%,12.3%,,,,,,,,,,,,,,,
Merchant B – Total,," 59,633.3 "," 53,016.8 ", 28.7 ,12.5%,12.4%,,,,,,,,,,,,,,,
Merchant C,,,,,,,,,,,,,,,,,,,,,
,Carrier B," $42,104.2 "," $35,794.8 "," $3,556.2 ",17.6%,7.0%,,,,,,,,,,,,,,,
Merchant C – Total,," 42,104.2 "," 35,794.8 "," 3,556.2 ",17.6%,7.0%,,,,"Key Finding:                                                                                                                      Merchant F with Carrier D appears marginally profitable before returns (+7.5%), but becomes highly unprofitable after returns (−52.6%).
This dramatic swing suggests that return costs completely eliminate the margin and generate significant losses.
Based on average volumes, the estimated financial impact is approximately $1,500 per month (≈ $18,000 per year).
Recommendation: Global-e should review return policies, renegotiate terms, or consider switching carriers for this merchant-channel combination.",,,,,,,,,,,
Merchant D,,,,,,,,,,,,,,,,,,,,,
,Carrier B," $21,290.0 "," $22,067.9 ", $34.3 ,-3.5%,-3.7%,,,,,,,,,,,,,,,
,Carrier C," $14,832.6 "," $12,766.2 ", $-   ,16.2%,16.2%,,,,,,,,,,,,,,,
,Carrier D, $85.2 , $98.2 , $-   ,-13.2%,-13.2%,,,,,,,,,,,,,,,
,Carrier E, $351.6 , $514.1 , $-   ,-31.6%,-31.6%,,,,,,,,,,,,,,,
Merchant D – Total,," 36,559.4 "," 35,446.4 ", 34.3 ,3.1%,3.0%,,,,,,,,,,,,,,,
Merchant E,,,,,,,,,,,,,,,,,,,,,
,Carrier B," $25,278.6 "," $18,715.2 ", $-   ,35.1%,35.1%,,,,,,,,,,,,,,,
Merchant E – Total,," 25,278.6 "," 18,715.2 ", -   ,35.1%,35.1%,,,,,,,,,,,,,,,
Merchant F,,,,,,,,,,,,,,,,,,,,,
,Carrier B," $15,043.9 "," $11,908.0 "," $6,845.6 ",26.3%,-19.8%,,,,,,,,,,,,,,,
,Carrier D," $14,021.2 "," $13,038.6 "," $16,564.0 ",7.5%,-52.6%,,,,,,,,,,,,,,,
Merchant F – Total,," 29,065.1 "," 24,946.7 "," 23,409.6 ",16.5%,-39.9%,,,,,,,,,,,,,,,
Grand Total,," $220,592.6 "," $186,705.4 "," $27,364.5 ",18.2%,3.0%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
