,,,,,,,,,,,,,,,,,
% of Total Orders,,Reconciliation Weight Source,,,,,,,,,,,,,,,
Merchant,Shipping Service,API,Calculated,Daily,Invoice,Scan,Grand Total,,,,,,,,,,
Merchant A,,0.3%,72.3%,0.0%,27.4%,0.0%,100.0%,,,"Note: Most orders are reconciled via Calculated (41.1%) and Invoice (30.8%), while Daily (4.0%) and API (7.2%) are the least used methods.",,,,,,,
Merchant B,,9.6%,16.0%,4.2%,17.6%,52.7%,100.0%,,,,,,,,,,
Merchant C,,2.3%,2.5%,23.0%,72.2%,0.0%,100.0%,,,,,,,,,,
Merchant D,,0.0%,6.0%,0.1%,93.8%,0.1%,100.0%,,,,,,,,,,
Merchant E,,1.4%,97.9%,0.6%,0.0%,0.0%,100.0%,,,,,,,,,,
Merchant F,,30.7%,69.3%,0.0%,0.0%,0.0%,100.0%,,,,,,,,,,
Grand Total,,7.2%,41.1%,4.0%,30.8%,16.8%,100.0%,,,API,7.2%,,,,,,
,,,,,,,,,,Calculated,41.1%,,,,,,
,,,,,,,,,,Daily,4.0%,,,,,,
,,,,,,,,,,Invoice,30.8%,,,,,,
,,,,,,,,,,Scan,16.8%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Key Finding:                                                                                                                      Most orders (over 70%) are reconciled using either Calculated (41.1%) or Invoice (30.8%) methods, indicating reliance on structured, post-shipping data for weight reconciliation.
In contrast, API-based reconciliation (7.2%) and Daily files (4.0%) are minimally used, suggesting low automation and potential for real-time weight tracking improvement.",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
