Merchant,Merchant Country,Destination Country,Shipping Service,Order Id,Orders Count,Parcels Count,Reconciliation Weight Source,Order Date,Currency,Shipping Revenue,Shipping Cost,Shipping Returns Costs,Revenue Weight Kg,Costing Weight Kg,,
Merchant A,France,France,Carrier A,10000000257,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.42,0.42,,
Merchant A,France,France,Carrier A,10000000007RA,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
Merchant A,France,France,Carrier A,10000000079RA,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.29,0.29,,
Merchant A,France,France,Carrier A,10000000129RA,1,1,Calculated,01/05/2024,EUR, 4.01 , 2.00 , -   ,0.80,0.80,,
Merchant A,France,France,Carrier A,10000000240RA,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,Belgium,Carrier F,10000004670RA,1,1,Invoice,01/05/2024,EUR, 3.19 , 2.93 , -   ,0.38,0.38,,
Merchant A,France,France,Carrier A,10000000207RA,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,France,Carrier A,10000000022,1,1,Calculated,01/05/2024,EUR, 4.01 , 2.00 , -   ,0.89,0.89,,
Merchant A,France,France,Carrier A,10000000166,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.16,0.16,,
Merchant A,France,France,Carrier A,10000000048,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.29,0.29,,
Merchant A,France,France,Carrier A,10000000100,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
Merchant A,France,France,Carrier A,10000000062,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.37,0.37,,
Merchant A,France,France,Carrier A,10000000170,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.30,0.30,,
Merchant A,France,France,Carrier A,10000000252,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.15,0.15,,
Merchant A,France,Italy,Carrier F,10000005530,1,1,Invoice,01/05/2024,EUR, 3.71 , 3.41 , -   ,0.46,0.46,,
Merchant A,France,Italy,Carrier F,10000005524,1,1,Invoice,01/05/2024,EUR, 3.71 , 3.41 , -   ,0.46,0.46,,
Merchant A,France,France,Carrier A,10000000064,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.13,0.13,,
Merchant A,France,France,Carrier A,10000000102,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
Merchant A,France,France,Carrier A,10000000029,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,Ireland (Republic of),Carrier F,10000005307,1,1,Invoice,01/05/2024,EUR, 3.82 , 3.51 , -   ,0.22,0.22,,
Merchant A,France,France,Carrier A,10000000188,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,France,Carrier A,10000000157,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.17,0.17,,
Merchant A,France,France,Carrier A,10000000185,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.45,0.45,,
Merchant A,France,France,Carrier A,10000000002,1,1,Calculated,01/05/2024,EUR, 3.35 , 1.67 , -   ,0.27,0.27,,
Merchant A,France,France,Carrier A,10000000096,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
Merchant A,France,Italy,Carrier F,10000005516,1,1,Invoice,01/05/2024,EUR, 3.71 , 3.41 , -   ,0.46,0.46,,
Merchant A,France,France,Carrier A,10000000227,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.40,0.40,,
Merchant A,France,France,Carrier A,10000000063,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.19,0.19,,
Merchant A,France,Germany,Carrier F,10000005033,1,1,Invoice,01/05/2024,EUR, 2.45 , 2.26 , -   ,0.24,0.24,,
Merchant A,France,Lithuania,Carrier B,10000004506,1,1,Invoice,01/05/2024,EUR, 7.61 , 5.88 , -   ,0.50,0.50,,
Merchant A,France,France,Carrier A,10000000075,1,1,Calculated,01/05/2024,EUR, 3.72 , 1.86 , -   ,0.59,0.59,,
Merchant A,France,France,Carrier A,10000000230,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.20,0.20,,
Merchant A,France,France,Carrier A,10000000080,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.30,0.30,,
Merchant A,France,Italy,Carrier B,10000004408,1,1,Invoice,01/05/2024,EUR, 6.89 , 5.40 , -   ,1.00,1.00,,
Merchant A,France,France,Carrier A,10000000133,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.40,0.40,,
Merchant A,France,France,Carrier A,10000000231,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,France,Carrier A,10000000049,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.40,0.40,,
Merchant A,France,Italy,Carrier B,10000004406,1,1,Invoice,01/05/2024,EUR, 6.89 , 5.40 , -   ,1.00,1.00,,
Merchant A,France,France,Carrier A,10000000037,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,France,Carrier A,10000000211,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.16,0.16,,
Merchant A,France,France,Carrier A,10000000069,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,France,Carrier A,10000000244,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,Belgium,Carrier B,10000004174,1,1,Invoice,01/05/2024,EUR, 6.89 , 5.40 , -   ,1.00,1.00,,
Merchant A,France,France,Carrier A,10000000045,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,France,Carrier A,10000000154,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
Merchant A,France,France,Carrier A,10000000239,1,1,Calculated,01/05/2024,EUR, 3.72 , 1.86 , -   ,0.57,0.57,,
Merchant A,France,France,Carrier A,10000000176,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.30,0.30,,
Merchant A,France,Italy,Carrier B,10000004413,1,1,Invoice,01/05/2024,EUR, 6.89 , 5.39 , -   ,1.00,1.00,,
Merchant A,France,France,Carrier A,10000000055,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.29,0.29,,
Merchant A,France,Netherlands,Carrier B,10000004531,1,1,Invoice,01/05/2024,EUR, 6.89 , 5.40 , -   ,1.00,1.00,,
Merchant A,France,France,Carrier A,10000000023,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,France,Carrier A,10000000105,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
Merchant A,France,France,Carrier A,10000000058,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.22,0.22,,
Merchant A,France,France,Carrier A,10000000169,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,Italy,Carrier F,10000005533,1,1,Invoice,01/05/2024,EUR, 3.71 , 3.41 , -   ,0.34,0.34,,
Merchant A,France,Germany,Carrier F,10000005043,1,1,Invoice,01/05/2024,EUR, 2.68 , 2.47 , -   ,0.54,0.54,,
Merchant A,France,Ireland (Republic of),Carrier F,10000005312,1,1,Invoice,01/05/2024,EUR, 5.54 , 5.08 , -   ,0.40,0.40,,
Merchant A,France,France,Carrier A,10000000152,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,France,Carrier A,10000000221,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,France,Carrier A,10000000044,1,1,Calculated,01/05/2024,EUR, 4.01 , 2.00 , -   ,0.87,0.87,,
Merchant A,France,France,Carrier A,10000000119,1,1,Calculated,01/05/2024,EUR, 3.72 , 1.86 , -   ,0.64,0.64,,
Merchant A,France,France,Carrier A,10000000140,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.42,0.42,,
Merchant A,France,France,Carrier A,10000000014,1,1,Calculated,01/05/2024,EUR, 4.01 , 2.00 , -   ,0.91,0.91,,
Merchant A,France,France,Carrier A,10000000149,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,Belgium,Carrier F,10000004665,1,1,Invoice,01/05/2024,EUR, 3.19 , 2.93 , -   ,0.42,0.42,,
Merchant A,France,France,Carrier A,10000000091,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.30,0.30,,
Merchant A,France,France,Carrier A,10000000253,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,France,Carrier A,10000000216,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.12,0.12,,
Merchant A,France,Spain,Carrier F,10000006247,1,1,Invoice,01/05/2024,EUR, 2.34 , 2.15 , -   ,0.38,0.38,,
Merchant A,France,France,Carrier A,10000000218,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,France,Carrier A,10000000026,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.49,0.49,,
Merchant A,France,Spain,Carrier F,10000006248,1,1,Invoice,01/05/2024,EUR, 2.51 , 2.31 , -   ,0.98,0.98,,
Merchant A,France,Belgium,Carrier F,10000004662,1,1,Invoice,01/05/2024,EUR, 3.71 , 5.33 , -   ,0.54,1.08,,
Merchant A,France,Spain,Carrier F,10000006246,1,1,Invoice,01/05/2024,EUR, 2.34 , 2.15 , -   ,0.38,0.38,,
Merchant A,France,France,Carrier A,10000000060,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.15,0.15,,
Merchant A,France,France,Carrier A,10000000214,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.13,0.13,,
Merchant A,France,France,Carrier A,10000000113,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.25,0.25,,
Merchant A,France,Spain,Carrier F,10000006243,1,1,Invoice,01/05/2024,EUR, 2.34 , 2.15 , -   ,0.42,0.42,,
Merchant A,France,Sweden,Carrier F,10000006452,1,1,Invoice,01/05/2024,EUR, 3.54 , 3.25 , -   ,0.38,0.38,,
Merchant A,France,Belgium,Carrier F,10000004663,1,1,Invoice,01/05/2024,EUR, 2.56 , 2.36 , -   ,0.14,0.14,,
Merchant A,France,France,Carrier A,10000000085,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.28,0.28,,
Merchant A,France,Ireland (Republic of),Carrier B,10000004365,1,1,Invoice,01/05/2024,EUR, 11.60 , 5.70 , -   ,2.00,2.00,,
Merchant A,France,France,Carrier A,10000000137,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.40,0.40,,
Merchant A,France,France,Carrier A,10000000017,1,1,Calculated,01/05/2024,EUR, 2.98 , 1.49 , -   ,0.13,0.13,,
Merchant A,France,France,Carrier A,10000000033,1,1,Calculated,01/05/2024,EUR, 3.38 , 1.69 , -   ,0.27,0.27,,
